,predictions
0,10.4055431301123
1,11.868035333481325
2,12.213817792497705
3,14.56995376578535
4,15.776618998398208
5,14.016957759085354
6,12.924499906269228
7,14.107790224917185
8,13.49997718065794
9,11.777209714599955
10,15.229901876914857
11,10.979301514593201
12,12.662689803698099
13,18.892525743651852
14,12.849750465387372
15,13.358610133719774
16,8.29487996796346
17,10.200475708229886
18,9.257824134276557
19,8.617253077620457
20,9.444566871028758
21,10.179199867452988
22,10.73322862669164
23,12.737234787831937
24,15.711480764503106
25,12.078699886475059
26,10.67653247267426
27,11.76956455160582
28,9.014220721995155
29,13.77950161568483
30,8.66911567532056
31,17.358093570909958
32,12.624865193841016
33,15.25737226299993
34,12.352826664327726
35,12.2615448906578
36,14.942130840733949
37,10.174540032467647
38,9.797805081274271
39,10.044029282254158
40,10.605899527917503
41,13.257809276347006
42,12.63378475535734
43,10.284994664262506
44,9.371490850749844
45,13.589242315492438
46,12.412016535254557
47,9.311855525281333
48,12.208649104613222
49,14.083170969194027
50,13.616213209724563
51,12.738527788740187
52,15.231279816613647
53,15.210891368035528
54,12.289955568766288
55,14.958077495774656
56,11.117002444014862
57,12.10626681460449
58,8.551664886909457
59,8.296570340003926
60,10.394240214619279
61,11.726158340487459
62,14.193165666888534
63,14.93331617005524
64,8.39960652022878
65,17.255971033808038
66,12.971002896067251
67,11.80149408643973
68,10.520098862156896
69,10.056952141696236
70,7.710357963946548
71,11.17007245704826
72,14.246294104047886
73,10.551370767864658
74,13.707025591752162
75,11.609857338699001
76,13.486062055097175
77,12.706171382730204
78,12.352381209786046
79,12.659419088279142
80,15.750971885363215
81,12.708095764008027
82,13.979211423098825
83,12.849761428449785
84,12.758856149901108
85,12.644234654898531
86,12.777870372046914
87,8.45664699575496
88,11.598479331011164
89,9.945987728759345
90,9.868033036642876
91,10.983516965039769
92,15.87626810642459
93,8.913314802324706
94,9.843570133126383
95,12.627577511452483
96,9.21111411824768
97,11.75115254023382
98,10.506632738750504
99,11.886701169883482
100,9.77856737266943
101,9.371490850749844
102,12.858389014718478
103,12.858389014718478
104,17.08137713793656
105,9.884334839698585
106,14.734971425971574
107,10.935685340419255
108,9.894333180148816
109,13.96336535787625
110,13.797642892015737
111,10.878172626020715
112,11.619392131876252
113,14.660059835931419
114,8.900142298249426
115,12.549985029194305
116,9.73816975580576
117,14.802225296628768
118,12.771309616625306
119,12.771309616625306
120,15.241449665219756
121,12.212107896480397
122,12.780198135433832
123,14.324376589136325
124,10.500729401099381
125,18.45670131395239
126,12.342321895541678
127,9.727944176513406
128,10.177898440028326
129,10.443709432722919
130,12.366066485583401
131,10.439869438869945
132,12.475682249554524
133,9.697986192202617
134,9.090492544297394
135,13.535452611691648
136,12.016693909622212
137,13.475817286223137
138,9.729609575180959
139,9.864210217011307
140,11.960213584401675
141,10.045939869384076
142,13.629733594260413
143,12.10537249575873
144,11.872582312984866
145,10.66292982767225
146,18.189467453856455
147,8.255038944736011
148,9.843570133126383
149,13.589242315492438
150,9.22775874557702
151,19.657275270407784
152,11.695171056242332
153,12.524977267219255
154,18.007343912978175
155,18.78309019308653
156,12.34798885863028
157,13.765874559168994
158,13.851130363836257
159,9.038186586953884
160,12.457330817936619
161,9.845439962517812
162,12.194968850199114
163,12.870144160650579
164,13.019509006330578
165,11.234421033984983
166,7.884207015753146
167,11.430075098886006
168,12.352381209786046
169,8.721519425631692
170,13.462068064323837
171,19.823851197835914
172,11.576582479612238
173,11.779801967906018
174,9.738021863738949
175,14.362134953860574
176,12.363459956410074
177,9.68387853362619
178,11.649090671296833
179,13.08848374900198
180,19.404566396294236
181,14.54435036228364
182,12.631231183480807
183,13.398371192435802
184,12.770386464919254
185,12.041883045649346
186,13.022982325073754
187,13.808718562176844
188,11.405749692419647
189,10.631939902831553
190,13.380813632897011
191,12.878035424451854
192,14.07742019271686
193,8.441835823068923
194,7.999825204549525
195,11.316971120329036
196,10.605514097977416
197,11.858649468272601
198,12.171405048499592
199,13.732974420665261
200,11.3308093449634
201,12.654437017845614
202,10.007357018315496
203,17.612571358515687
204,11.639310822996958
205,14.6547794976403
206,16.698041124763623
207,16.307847805940305
208,11.444242365595152
209,17.014551505403716
210,14.146590755001752
211,14.331521380740249
212,12.631231183480807
213,11.827844283870713
214,11.796121384435567
215,12.951353835480779
216,11.71133861141821
217,13.37788371098162
218,11.518262248191736
219,10.134906833812705
220,14.299154995986896
221,10.044029282254158
222,12.41233006945329
223,12.91599547586595
224,10.818964187265555
225,14.239215314563436
226,9.522979905479755
227,17.75614172328765
228,13.105736930084051
229,18.98746418277016
230,14.677539905117525
231,14.925826124357231
232,14.32652067212222
233,11.946615915569508
234,9.08891606536565
235,12.823399557620098
236,8.609377470566146
237,18.08860560598954
238,9.847117629302724
239,10.887618362772505
240,14.428238682818199
241,12.524538616787188
242,13.62035682112886
243,9.669066672225483
244,11.97388933473402
245,14.02690918378472
246,13.004383680280199
247,16.3174600945381
248,10.650842415373997
249,11.985079485708637
